"","x"
"1305","Overheard excerpt of Duterte’s nationwide address: 

“COVID-19 is spreading throughout the country INCLUDING the Philippines.” 

<U+0001F923>"
"1306","hOy tama ba sinabi ni duterte????

""Covid-19 is spreading throughout the country, including the Philippines""

can u repeat that again sir?"
"1307","Watch   Duterte address the nation on COVID-19

“The virus is spreading across the country, including the Philippines”. "
"1308","“CoViD-19 is spreading throughout the country

Including the PHILIPPINES”
-RR Duterte"
"1309","President Duterte: ""COVID-19 IS SPREADING THROUGHOUT THE COUNTRY... INCLUDING THE PHILIPPINES.""

WAIT. SAY THAT AGAIN, BUT SLOWLY."
"1310","""the crisis is very very clear: covid-19 is spreading all around the country... including the philippines(??????)"" - Duterte

MAY BAGONG TULA MAMAYA HAHAHAHA"
"1311","Duterte: Covid-19 is spreading all over the country.. including the Philippines..

Shet nasan ba talaga tayo??? Comedy ka DU30"
"1312","Duterte: The crisis is very clear. COVID-19 is spreading throughout the country including the Philippines.

Luh. Magkaiba bang bansa ang tinutukoy mo? Reporting ka ba to the Chinese people?

"
"1313","""Covid 19 is spreading throughout the country

Including the PHILIPPINES!
""
?? Duterte ok"
"1314","President Duterte says COVID-19 now spreading all over the world including the Philippines."
"1315","Duterte: The covid virus is spreading throughout the country including the Philippines"
"1316","Covid 19 is spreading thruout the country including the Philippines - Duterte <U+270A>"
"1317","""Covid 19 is spreading in the country including the Philippines.""
-Duterte
<U+0001F914>"
"1318","“Spread all throughout the country including the Philippines” - PH president Rodrigo Duterte regarding COVID-19 "
"1319","""COVID-19 is spreading all over the country. Including the Philippines."" - President Duterte"
"1320","""COVID-19 is spreading all over the country including the Philippines""

- Duterte, 2020"
"1321","Covid 19 is spreading throughout the country including the Philippines? - Duterte
 Umpisa pa lang sablay na."
"1322","“COVID 19 spread out in the whole country... even in the Philippines.” - Duterte 2020

YES PO? NASAANG BANSA PO KAYO?"
"1323","“COVID-19 is spreading across the country including the Philippines.”
- P.Duterte, 2020

Ok mr. president. Ok."
"1324","“Covid-19 is spreading all over the country including the Philippines.”

JUSKO DUTERTE <U+0001F629><U+0001F629><U+0001F629>"
"1325","duterte: ""covid-10 is spreading all throughout the country including the philippines""

gulo mo,, sizt"
"1326","""COVID-19 is spreading throughout the country, including the Philippines""

-President Duterte, 2020 HAHAHAHA"
"1327","""Covid-19 is spreading through the country including the Philippines"" DUTERTE K KA LANG???"
"1328","duterte: “covid-19 is spreading throughout the country, including the philippines” is he okay???????"
"1329","“The Chinese ambassador also conveyed China’s readiness to extend assistance” to the Philippines, Malacañang said.

<U+0001F921><U+0001F921><U+0001F921><U+0001F921>

Read more: "
"1330","About to start: President Duterte addresses the public on the COVID-19 situation as confirmed cases in the Philippines spike to 52 on Thursday.  "
"1331","Let's patiently wait for the state of the nation address ni Pres. Duterte about COVID-19 update here in the Philippines. "
"1332","Possible suspension until April 12 due to pandemic COVID-19 and a possible lockdown. shet. Stay safe, everyone! Let's all offer a prayer for our country. <U+0001F64F>  

Ps. Let's all watch Pres. Duterte's important announcement tonight at 6:30 pm as Philippines fights against COVID-19."
"1333","During the call, Duterte extended sympathies to the Chinese people affected by COVID-19, the Palace said. Ambassador Huang, meanwhile, conveyed China’s readiness to extend
assistance to the Philippines’ fight against the deadly virus. "
"1334","""For flatulence relief, a professor and poetry buff from the University of the Philippines has put together President Duterte’s stream-of-consciousness utterances ('ramblings,' he called them) at a recent press conference on the COVID-19 cases into haha-haiku-like lines."
"1335","JUST IN: President Rodrigo Duterte will get tested for Covid-19, says Sen. Bong Go (Photo: President Duterte delivers a speech during the League of Municipalities of the Philippines General Assembly at the Marriot Hotel, March 10. SIMEON CELI JR./PRESIDENTIAL PHOTO) "
"1336","As the Philippines grapples with the rising cases of COVID-19, President Duterte has given assurance that the country’s water supply is enough to enable the public to observe proper hygiene 
"
"1337","Speaking at the League of Municipalities of the Philippines National Assembly tonight, President Duterte expressed belief that countries like Russia and the US can find an antidote for COVID-19. | "
"1338","JUST IN: President Duterte says number of confirmed COVID-19 cases in the Philippines has risen to 24. | "
"1339","President Duterte announced four additional cases of Covid-19 in the country, bringing the total to 24.
"
"1340","Despite the mounting number of patients, a rambling Duterte said he was still confident that the Philippines could respond well to the health crisis.
"
"1341","Duterte said the four new confirmed cases came from San Juan, Project Six in Quezon City and Sta. Maria in Bulacan. 

"
"1342","Telecommuting Act signed by President Duterte in 2019 allows private-sector employees in the Philippines to work in an alternative workplace with the use of telecommunication and/or computer technologies. "
"1343","President Rodrigo Roa Duterte confirmed on Monday, March 9, four new cases of Coronavirus disease 2019 (COVID-19), bringing the total number of confirmed cases in the Philippines to twenty-four (24).

"
"1344","JUST IN: President Duterte says number of confirmed COVID-19 cases in the Philippines has risen to 24. | via Alexis Romero

• President Duterte said the four new cases of COVID-19 are in West Crame, San Juan, Sta. Maria Bulacan, and Project 6, Quezon City."
"1345","JUST IN: President Duterte says number of confirmed COVID-19 cases in the Philippines has risen to 24. 

The doubling of the number of confirmed cases in the country was reported within a day after an “intensified… "
"1346","Damn you know that this COVID-19 in the Philippines is now serious if President Duterte himself is the one who declares new cases. 
Godbless the Republic <U+0001F64C><U+0001F3FB>"
"1347","President Duterte on Monday said there are four more new cases of "
"1348","Philippines’ confirmed "
"1349","JUST IN: President Duterte says number of confirmed COVID-19 cases in the Philippines has risen to 24. "
"1350","JUST IN: President Rodrigo Duterte says number of confirmed COVID-19 cases in the Philippines has risen to 24 "
"1351","Duterte says Philippines can't afford to shut down Chinese offshore online gambling companies. Spokesman: ""We really need funds from them... the salary of the nurses, teachers, and so many others."" 
"
"1352","Congrats, Duterte and Duque for the Philippines receiving travel ban due to not disclosing COVID-19 data information and lack of testing. Another milestone like we are the first country outside China that had a fatality. Keep up the incompetent work!"
"1353","I love Philippines talaga<U+0001F917> "
"1354","Why am I not surprised?
LATEST: Duterte won’t stop Pogos; funds earned can be used for COVID-19 response, others — Panelo

MANILA, Philippines --- President Rodrigo Duterte will not close down Philippine offshore gaming operators (Pogos), his spokesman said Sunday...."
"1355","""President Duterte has instructed all relevant agencies to be absolutely transparent to the public following the confirmation of two new coronavirus disease-2019 (COVID-19) cases in the Philippines Friday.""

"
"1356","JUST IN: President Rodrigo Duterte has agreed to declare the Philippines under a state of public health emergency today, in response to the first local transmission of COVID-19.

The call for the immediate declaration was recommended by DOH Sec. Duque last Feb. 21, 2020. "
